from_airport_code,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
VIE,Austria,IST,Turkey,Embraer 195|Canadair RJ 900|Airbus A321neo,multi,[Austrian| Lufthansa],OS215|OS215|OS215,2022-05-06 06:10:00,2022-05-06 16:55:00,585,2,395.0,USD,336000.0,143000.0,135%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A320neo|Airbus A321neo,LH,[Lufthansa],LH2325|LH2325|LH2325,2022-05-06 09:10:00,2022-05-06 21:15:00,665,2,407.0,USD,281000.0,143000.0,96%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A320neo|Airbus A321neo,LH,[Lufthansa],LH2325|LH2325|LH2325,2022-05-06 09:10:00,2022-05-06 21:15:00,665,2,407.0,USD,281000.0,143000.0,96%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A321|Airbus A321neo,LH,[Lufthansa],LH2325|LH2325|LH2325,2022-05-06 09:10:00,2022-05-06 21:15:00,665,2,407.0,USD,295000.0,143000.0,106%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A320|Airbus A321neo,multi,[Austrian| Lufthansa],OS225|OS225|OS225,2022-05-06 09:15:00,2022-05-06 21:15:00,660,2,410.0,USD,321000.0,143000.0,124%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A321neo|Airbus A321neo,multi,[Austrian| Lufthansa],OS225|OS225|OS225,2022-05-06 09:15:00,2022-05-06 21:15:00,660,2,410.0,USD,310000.0,143000.0,117%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Embraer 190|Airbus A321neo,multi,[Austrian| Lufthansa],OS291|OS291|OS291,2022-05-06 08:25:00,2022-05-06 21:15:00,710,2,416.0,USD,342000.0,143000.0,139%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A319|Airbus A321neo,multi,[Austrian| Lufthansa],OS291|OS291|OS291,2022-05-06 08:25:00,2022-05-06 21:15:00,710,2,416.0,USD,330000.0,143000.0,131%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321|Airbus A320neo,LH,[Lufthansa],LH1239|LH1239,2022-05-06 14:10:00,2022-05-07 13:00:00,1310,1,417.0,USD,253000.0,143000.0,77%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321|Airbus A320neo,LH,[Lufthansa],LH1243|LH1243,2022-05-06 19:10:00,2022-05-07 13:00:00,1010,1,417.0,USD,253000.0,143000.0,77%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321|Airbus A320,LH,[Lufthansa],LH1243|LH1243,2022-05-06 19:10:00,2022-05-07 17:00:00,1250,1,417.0,USD,293000.0,143000.0,105%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Boeing 777,multi,[Aegean| Turkish Airlines],A3863|A3863,2022-05-06 17:55:00,2022-05-07 12:05:00,1030,1,423.0,USD,243000.0,143000.0,69%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Embraer 195|Airbus A320|Airbus A321neo,multi,[Austrian| Lufthansa],OS713|OS713|OS713,2022-05-06 10:00:00,2022-05-06 21:15:00,615,2,436.0,USD,337000.0,143000.0,136%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A320|Airbus A321neo,multi,[Austrian| Lufthansa],OS225|OS225|OS225,2022-05-06 09:15:00,2022-05-06 21:15:00,660,2,437.0,USD,321000.0,143000.0,124%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321 (Sharklets)|Airbus A321,multi,[Finnair| Turkish Airlines],AY1472|AY1472,2022-05-06 11:15:00,2022-05-06 22:45:00,630,1,464.0,USD,423000.0,143000.0,196%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,ATR 42/72|Boeing 737,multi,[Air Serbia| Turkish Airlines],JU605|JU605,2022-05-06 20:45:00,2022-05-07 12:05:00,860,1,467.0,USD,191000.0,143000.0,33%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Embraer 195|De Havilland-Bombardier Dash-8|Embraer 195,multi,[Austrian| LOT],OS597|OS597|OS597,2022-05-06 12:50:00,2022-05-06 23:30:00,580,2,488.0,USD,290000.0,143000.0,103%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Airbus A320,TK,[Turkish Airlines],TK7805|TK7805,2022-05-06 19:30:00,2022-05-07 04:15:00,465,1,497.0,USD,237000.0,143000.0,66%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Airbus A321,TK,[Turkish Airlines],TK7805|TK7805,2022-05-06 19:30:00,2022-05-07 05:35:00,545,1,497.0,USD,239000.0,143000.0,67%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Boeing 737,TK,[Turkish Airlines],TK7805|TK7805,2022-05-06 19:30:00,2022-05-07 07:45:00,675,1,497.0,USD,240000.0,143000.0,67%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Boeing 737,TK,[Turkish Airlines],TK7805|TK7805,2022-05-06 19:30:00,2022-05-07 08:55:00,745,1,497.0,USD,228000.0,143000.0,59%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Boeing 737MAX 8 Passenger,TK,[Turkish Airlines],TK7805|TK7805,2022-05-06 19:30:00,2022-05-07 09:55:00,805,1,497.0,USD,228000.0,143000.0,59%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Airbus A320,TK,[Turkish Airlines],TK7805|TK7805,2022-05-06 19:30:00,2022-05-07 11:40:00,910,1,497.0,USD,237000.0,143000.0,66%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Boeing 737,TK,[Turkish Airlines],TK7805|TK7805,2022-05-06 19:30:00,2022-05-07 12:55:00,985,1,497.0,USD,228000.0,143000.0,59%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Boeing 737MAX 8 Passenger,TK,[Turkish Airlines],TK7805|TK7805,2022-05-06 19:30:00,2022-05-07 13:50:00,1040,1,497.0,USD,228000.0,143000.0,59%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Boeing 737|Boeing 737MAX 8 Passenger,TK,[Turkish Airlines],TK7805|TK7805,2022-05-06 19:30:00,2022-05-07 15:55:00,1165,1,497.0,USD,228000.0,143000.0,59%,2022-04-29 17:52:59
